date,percentile_rank,z_score,mc_mean,mc_std,actual,actual_vs_mean_pct
2024-04-21,72.5,0.550768680025467,276.93073273421163,14.905108102080328,285.14,2.964375670672603
2024-04-22,63.7,0.2660416681412695,253.08152990872395,14.127372796499643,256.84,1.4850827291235102
2024-04-23,55.5,0.07533833597156946,231.3254181468722,13.599739954119732,232.35,0.4429179730163879
2024-04-24,53.800000000000004,0.15239857829071346,251.4968714881672,14.25950546132256,253.67,0.8640777513349907
2024-04-25,67.3,0.43355629648376026,295.2320456116094,15.702583516946621,302.04,2.305967285592958
2024-04-26,58.7,0.24524910563231841,283.92059560518186,15.328920934803344,287.68,1.324104152009431
2024-04-27,63.800000000000004,0.3477563676661353,157.71824162041,10.817222577632606,161.48,2.3851130604433557
2024-04-28,64.7,0.3646730633875907,234.88683090635516,13.555069527353526,239.83,2.104489670438614
2024-04-29,66.5,0.4236199980031479,274.8463856002128,15.045592762879629,281.22,2.3189733370036825
2024-04-30,63.6,0.3523102189155592,213.44739667371996,12.751838387766409,217.94,2.1047824411499105
2024-05-01,56.2,0.13724772194698676,214.71952170403634,12.75415091692434,216.47,0.8152394724390666
2024-05-02,67.4,0.4474510320950573,257.5344874901741,14.181467037105406,263.88,2.4639467015337146
2024-05-03,60.300000000000004,0.25789830515956885,147.78787464250934,11.059107572760725,150.64,1.9298777821859847
2024-05-04,72.5,0.6127346442419647,174.72739625315424,11.37948245563486,181.7,3.990561237885948
2024-05-05,88.2,1.1516326039568705,263.6454012370128,14.209911698512036,280.01,6.207048818680394
2024-05-06,29.400000000000002,-0.5486165001894475,169.60387315642006,11.47226269284677,163.31,-3.7109253693843547
2024-05-07,62.900000000000006,0.3193871123487058,98.48191005948644,9.324388824665458,101.46,3.023996933766493
2024-05-08,71.5,0.5404623824108601,258.7228506383117,14.519324705304866,266.57,3.0330329703495806
2024-05-09,78.7,0.7717642533148119,262.5522015418429,14.379776776038215,273.65,4.22689217343637
2024-05-10,65.5,0.387720482138651,89.77167710118877,9.22912942683052,93.35,3.986026566906853
2024-05-11,75.2,0.7170526331793098,251.98996920373096,14.434128821654012,262.34,4.1073185686614
2024-05-12,82.0,0.9628001180795497,247.95508246693373,14.244822276946373,261.67,5.531210490470695
2024-05-13,75.9,0.6714112696403772,251.0949299707567,15.02070312765798,261.18,4.0164371420871925
2024-05-14,71.60000000000001,0.6052425883801554,234.15485500309387,13.655920039903332,242.42,3.5297773333791804
2024-05-15,66.9,0.4800128629443389,222.6655312105723,12.946462041237915,228.88,2.7909433290556063
2024-05-16,74.5,0.6148742520302107,221.2903989272997,12.977613603885311,229.27,3.605940931636109
